<beam_data>
No,i,j,length,I,K,phai,stiff_ratio,Ci,Cj,category,direction,story,M0,Q0,unit_weight,weight,Z,Zp,B,H,t1,t2,init_group,Mp,M_Lx,M_Lx0,M_Ly,M_Ly0,M_Sx,M_Sy,Q_Lx,Q_Ly,Q_Sx,Q_Sy,N_Lx,N_Ly,N_Sx,N_Sy,ML,QL,Ms,Qs
33,22,23,7.699999999999999,0.00176575,275.1818181818182,1.2,0.19975841285786036,89.02740000000001,89.02740000000001,nan,X,2,133.54110000000003,34.68600000000001,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-87.21704264  89.8256077 ],132.23681746940485,[],[],"[708.8450886963843, 694.9783517044177]","[0, 0]","[34.34722531672853, 35.02477468327148]",[],182.3147325195847,0.0,[],[],[],[],132.23681746940485,34.34722531672853,796.0621313342424,217.3395072028562
34,23,24,7.699999999999999,0.00176575,275.1818181818182,1.2,0.19975841285786036,89.02739999999977,89.02739999999977,nan,X,2,133.5410999999997,34.68599999999994,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-88.91123278  89.4736764 ],133.25987819103779,[],[],"[694.9783517044177, 694.9783517044176]","[0, 0]","[34.61295537429555, 34.759044625704334]",[],180.51385758556307,0.0,[],[],[],[],133.25987819103779,34.61295537429555,784.4520281043816,215.27290221126742
35,24,25,7.700000000000003,0.00176575,275.1818181818181,1.2,0.19975841285786025,89.02740000000021,89.02740000000021,nan,X,2,133.5411000000003,34.68600000000006,1.196693791340565,9.214542193322355,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-92.57264246  81.16052949],139.24715648796305,[],[],"[694.9783517044173, 617.8800933003845]","[0, 0]","[36.16809259427609, 33.203907405724024]",[],170.50109675387029,0.0,[],[],[],[],139.24715648796305,36.16809259427609,787.5509941690697,206.66918934814638
36,21,26,7.2,0.00176575,294.2916666666667,1.2,0.2136305248618784,71.06400000000002,71.06400000000002,nan,Y,2,106.59600000000005,29.610000000000007,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-64.30187512  74.24503642],101.62441935181901,"[0, 0]","[564.3211470783584, 627.0750799256139]",[],"[28.229005375505274, 30.99099462449474]",0.0,165.47169819499615,[],[],[],[],101.62441935181901,28.229005375505274,701.3201163414486,196.46269281949088
37,26,31,7.2,0.00176575,294.2916666666667,1.2,0.2136305248618784,71.06400000000002,71.06400000000002,nan,Y,2,106.59600000000005,29.610000000000007,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-72.69151269  68.20902668],108.83724300358918,"[0, 0]","[627.0750799256139, 614.6608133708]",[],"[30.23256750099699, 28.987432499003024]",0.0,172.46331851339082,[],[],[],[],108.83724300358918,30.23256750099699,699.7665926109593,202.6958860143878
38,31,36,2.9999999999999982,0.00176575,706.3000000000003,1.2,0.5127132596685084,32.28749999999997,32.28749999999997,nan,Y,2,48.43124999999996,32.287499999999994,1.196693791340565,3.5900813740216933,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-41.58136126  23.49761897],57.47312114464599,"[0, 0]","[1475.1859520899209, 1479.264332308944]",[],"[38.315414096430686, 26.259585903569306]",0.0,984.8167614662889,[],[],[],[],57.47312114464599,38.315414096430686,1516.767313353008,1023.1321755627196
39,26,27,6.0,0.00176575,441.4375,1.5,0.32044578729281764,243.6480000000001,243.6480000000001,nan,X,2,365.47200000000015,121.82400000000004,1.196693791340565,7.18016274804339,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-207.8438258   265.72640968],336.53070806201345,[],[],"[1298.838193771545, 1116.0149336887625]","[0, 0]","[112.17690268733782, 131.47109731266227]",[],402.47552124338455,0.0,[],[],[],[],336.53070806201345,112.17690268733782,1506.6820195710889,533.9466185560468
40,27,28,7.699999999999999,0.00176575,343.97727272727275,1.5,0.24969801607232542,312.6816000000002,312.6816000000002,nan,X,2,469.0224000000002,121.82400000000004,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-308.58889921  314.35844691],466.13762615173107,[],[],"[869.6220262509837, 910.9198769264481]","[0, 0]","[121.07470809135872, 122.57329190864137]",[],231.23920820486128,0.0,[],[],[],[],466.13762615173107,121.07470809135872,1225.2783238365446,353.81250011350267
41,28,29,7.699999999999999,0.00176575,343.97727272727275,1.5,0.24969801607232542,312.68159999999983,312.68159999999983,nan,X,2,469.0223999999998,121.82400000000004,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-311.86046087  315.06288523],467.42118781666477,[],[],"[910.9198769264481, 910.9198769264483]","[0, 0]","[121.40810073160134, 122.23989926839874]",[],236.6025654354411,0.0,[],[],[],[],467.42118781666477,121.40810073160134,1225.9827621596446,358.8424647038398
42,29,30,7.700000000000003,0.00176575,343.9772727272726,1.5,0.2496980160723253,312.6816000000004,312.6816000000004,nan,X,2,469.0224000000006,121.82400000000004,1.196693791340565,9.214542193322355,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-327.51581199  279.07174469],493.2444336519899,[],[],"[910.9198769264478, 910.3954301018564]","[0, 0]","[128.11543731220505, 115.53256268779504]",[],236.53445545822123,0.0,[],[],[],[],493.2444336519899,128.11543731220505,1238.4356889168014,364.6498927704263
43,22,27,7.2,0.00176575,367.86458333333337,1.5,0.26703815607734804,264.64290000000005,264.64290000000005,nan,Y,2,396.96435000000014,110.26787500000005,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-234.00450782  278.84802778],374.5425900236744,"[0, 0]","[822.071902040073, 771.2697095529544]",[],"[104.03960833990956, 116.49614166009053]",0.0,221.29744605458714,[],[],[],[],374.5425900236744,104.03960833990956,1056.0764098630154,337.79358771467764
44,27,32,7.2,0.00176575,367.86458333333337,1.5,0.26703815607734804,264.64290000000005,264.64290000000005,nan,Y,2,396.96435000000014,110.26787500000005,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-271.84668429  252.46346804],406.65595812936317,"[0, 0]","[771.2697095529544, 704.0380273050417]",[],"[112.95998836926756, 107.57576163073253]",0.0,204.90385234138836,[],[],[],[],406.65595812936317,112.95998836926756,1043.1163938478198,317.86384071065595
45,32,37,2.9999999999999982,0.00176575,882.8750000000005,1.5,0.6408915745856356,121.40537499999996,121.40537499999996,nan,Y,2,182.10806249999996,121.40537500000002,1.196693791340565,3.5900813740216933,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-161.01439283   83.35953045],220.93549369064337,"[0, 0]","[1689.6912655321007, 1729.189839437286]",[],"[147.29032912709565, 95.5204208729044]",0.0,1139.6270349897964,[],[],[],[],220.93549369064337,147.29032912709565,1850.7056583654812,1286.917364116892
46,31,32,6.0,0.00176575,441.4375,1.5,0.32044578729281764,122.24699999999991,122.24699999999991,nan,X,2,183.37049999999988,61.12349999999995,1.196693791340565,7.18016274804339,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-104.28275288  133.32453541],168.8496087325031,[],[],"[1298.838193771545, 1116.0149336887625]","[0, 0]","[56.283202910834355, 65.96379708916554]",[],402.47552124338455,0.0,[],[],[],[],168.8496087325031,56.283202910834355,1403.1209466466632,468.4393183325501
47,32,33,7.699999999999999,0.00176575,343.97727272727275,1.5,0.24969801607232542,156.8836499999999,156.8836499999999,nan,X,2,235.32547499999984,61.12349999999995,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-154.83019422  157.72498465],233.87807978793424,[],[],"[869.6220262509837, 910.9198769264481]","[0, 0]","[60.74755319167122, 61.49944680832868]",[],231.23920820486128,0.0,[],[],[],[],233.87807978793424,60.74755319167122,1068.6448615740485,292.73865501318994
48,33,34,7.699999999999999,0.00176575,343.97727272727275,1.5,0.24969801607232542,156.88364999999973,156.88364999999973,nan,X,2,235.3254749999996,61.12349999999995,1.196693791340565,9.21454219332235,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-156.47165484  158.07842679],234.52208902606935,[],[],"[910.9198769264481, 910.9198769264483]","[0, 0]","[60.91482831845962, 61.33217168154028]",[],236.6025654354411,0.0,[],[],[],[],234.52208902606935,60.91482831845962,1068.9983037187983,297.9347371169814
49,34,35,7.700000000000003,0.00176575,343.9772727272726,1.5,0.2496980160723253,156.88365000000002,156.88365000000002,nan,X,2,235.325475,61.12349999999995,1.196693791340565,9.214542193322355,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[-164.32650984  140.0203719 ],247.47854396775156,[],[],"[910.9198769264478, 910.3954301018564]","[0, 0]","[64.28014129032503, 57.966858709674874]",[],236.53445545822123,0.0,[],[],[],[],247.47854396775156,64.28014129032503,1075.2463867618853,300.81459674854625
50,23,28,7.2,0.00176575,367.86458333333337,1.5,0.26703815607734804,334.39559999999966,334.39559999999966,nan,Y,2,501.5933999999995,139.33149999999986,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-295.67159143  352.36514693],473.2466222515609,"[0, 0]","[822.071902040073, 771.2697095529544]",[],"[131.457395069878, 147.20560493012172]",0.0,221.29744605458714,[],[],[],[],473.2466222515609,131.457395069878,1123.634856480078,368.50305098470886
51,28,33,7.2,0.00176575,367.86458333333337,1.5,0.26703815607734804,334.39559999999966,334.39559999999966,nan,Y,2,501.5933999999995,139.33149999999986,1.196693791340565,8.61619529765207,0.005885835,0.006640441,300.0,600.0,16.0,32.0,[],2158.143325,[],[],[-343.6349745   318.70176572],514.0600043853196,"[0, 0]","[771.2697095529544, 704.0380273050417]",[],"[142.7944456625888, 135.86855433741093]",0.0,204.90385234138836,[],[],[],[],514.0600043853196,142.7944456625888,1114.9046840483359,347.69829800397713
